"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2018","70.35","71.11","71.27","68.95","3.26M","-0.58%"
"02/09/2018","70.76","69.51","71.41","67.58","3.39M","2.86%"
"02/08/2018","68.79","71.39","72.07","68.77","3.85M","-3.47%"
"02/07/2018","71.26","70.11","72.31","69.87","3.47M","1.37%"
"02/06/2018","70.30","66.58","70.70","65.05","4.67M","3.35%"
"02/05/2018","68.02","70.54","71.95","67.99","4.10M","-4.52%"
"02/02/2018","71.24","72.56","72.98","71.02","5.04M","-2.54%"
"02/01/2018","73.10","72.57","74.36","72.08","3.19M","0.05%"
"01/31/2018","73.06","75.36","75.43","72.47","5.27M","-4.23%"
"01/30/2018","76.29","76.20","76.51","75.18","2.96M","-0.39%"
"01/29/2018","76.59","77.43","77.87","76.49","2.59M","-1.62%"
"01/26/2018","77.85","76.46","77.88","76.37","3.13M","2.07%"
"01/25/2018","76.27","76.07","76.31","75.18","3.53M","-0.68%"
"01/24/2018","76.79","77.52","77.78","76.13","2.54M","-0.94%"
"01/23/2018","77.52","78.03","78.59","77.20","2.51M","-0.69%"
"01/22/2018","78.06","76.95","78.11","76.55","2.27M","1.56%"
"01/19/2018","76.86","75.10","77.07","74.78","3.45M","2.91%"
"01/18/2018","74.69","74.27","74.75","73.90","2.74M","0.58%"
"01/17/2018","74.26","72.26","74.62","72.26","3.20M","2.57%"
"01/16/2018","72.40","73.78","74.11","71.81","3.75M","-1.16%"
"01/12/2018","73.25","71.79","73.45","71.73","3.44M","2.15%"
"01/11/2018","71.71","70.23","72.02","69.93","2.81M","1.95%"
"01/10/2018","70.34","69.34","70.87","69.05","2.74M","0.80%"
"01/09/2018","69.78","69.93","70.22","69.15","3.18M","0.13%"
"01/08/2018","69.69","68.68","70.11","68.42","3.62M","1.19%"
"01/05/2018","68.87","67.90","68.97","67.46","4.12M","2.36%"
"01/04/2018","67.28","68.85","69.01","66.11","5.19M","-1.64%"
"01/03/2018","68.40","69.18","69.39","68.14","3.56M","-1.10%"
"01/02/2018","69.16","68.26","69.39","67.87","3.69M","1.01%"
"12/29/2017","68.47","68.56","68.98","68.38","2.06M","0.07%"
"12/28/2017","68.42","68.57","68.72","68.08","1.37M","0.09%"
"12/27/2017","68.36","68.10","68.55","67.73","2.04M","0.50%"
"12/26/2017","68.02","66.94","68.06","66.67","1.98M","1.36%"
"12/22/2017","67.11","67.14","67.27","66.88","1.66M","0.04%"
"12/21/2017","67.08","66.73","67.30","66.11","2.75M","0.52%"
"12/20/2017","66.73","66.54","66.89","65.97","2.73M","1.41%"
"12/19/2017","65.80","67.09","67.28","65.78","4.14M","-1.81%"
"12/18/2017","67.01","65.65","67.14","65.63","3.94M","2.59%"
"12/15/2017","65.32","64.39","65.53","64.16","6.91M","2.46%"
"12/14/2017","63.75","64.77","64.80","63.67","3.75M","-0.99%"
"12/13/2017","64.39","63.75","64.71","63.47","3.49M","1.37%"
"12/12/2017","63.52","63.73","64.16","63.37","3.41M","-0.16%"
"12/11/2017","63.62","63.59","63.72","62.90","4.69M","-0.27%"
"12/08/2017","63.79","61.83","64.12","61.45","5.00M","3.74%"
"12/07/2017","61.49","61.10","61.58","60.85","4.01M","0.85%"
"12/06/2017","60.97","61.65","61.83","60.94","3.54M","-1.63%"
"12/05/2017","61.98","62.49","62.69","61.54","3.55M","-0.91%"
"12/04/2017","62.55","60.92","62.80","60.59","6.92M","3.65%"
"12/01/2017","60.35","59.75","60.83","58.82","5.89M","1.24%"
"11/30/2017","59.61","59.02","60.52","59.00","5.25M","1.33%"
"11/29/2017","58.83","58.10","59.46","57.51","5.28M","1.34%"
"11/28/2017","58.05","56.88","58.13","56.88","2.69M","1.81%"
"11/27/2017","57.02","57.55","58.35","56.80","3.94M","0.04%"
"11/24/2017","57.00","56.75","57.35","56.17","2.72M","0.90%"
